text,true_label,pred_label,probability
服务太差，没有收到货，系统显示收货，至今未处理,4,7,0.38358500599861145
阔以阔以！赞一个，要凑够十个字哦,1,7,0.8453095555305481
好好6666666666666666,4,1,0.6861708164215088
可以，和想象中的差不多,1,7,0.8605273365974426
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.7648699283599854
下订单付款了 单没有现货 再次到货时已经降价100元 没有通知我 也没有退款 不知如何解决？,8,1,0.5096814036369324
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,4,0.9611499309539795
很差很差，感觉很山寨，一买完就降价，服了,4,7,0.8315249085426331
一般，不达标，不达标，服务差,9,7,0.6601300835609436
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,4,0.645856499671936
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.6504027843475342
唉唉跟图片不符合 唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉,7,3,0.6302457451820374
发货很快的，618之前买的降价了,1,4,0.7924745678901672
客服态度很好，妈妈收的，没有拆开，还不知质量，希望完好,5,1,0.7361857295036316
非常不错非常不错非常不错非常的好,7,3,0.2924247980117798
没有其他颜色选择。送货的圆通服务真是一般，只送到楼下，以前京东用邮政快递的送到到家门口的。,8,7,0.8577882647514343
硬件不错，从外观，做工多不错.,2,9,0.9518323540687561
包装，存储，运输等技术都非常棒。,3,1,0.7303521633148193
家人用的，我没见到，听说不错,1,5,0.48552995920181274
服务真差！,9,7,0.7717140913009644
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.9784548878669739
宝贝不错，客服也很热情，赞一个,7,5,0.9280828833580017
感觉上当了，给母亲买的，回家一看！纯属伪劣产品！不值这个价！,1,4,0.3649585545063019
第二次买了，商品质量还不错，物流也很给力，京东加油↖(^ω^)↗,3,4,0.3517345190048218
非常好，比超市便宜多了。。送货速度很快。,3,4,0.9740287065505981
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.7780236601829529
等使用评价,1,5,0.6752629280090332
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,3,0.7310813069343567
京东商城值得信赖！有问题管换，痛快！快递小哥服务也好！没话说,1,4,0.5039792060852051
京东垃圾以后不会买京东的东西了。,4,1,0.607524573802948
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.8705020546913147
物流配送超快，其他的一般,4,1,0.47608861327171326
一无商标，二发货慢，三还是假货，差评都没你垃圾,7,4,0.8766129016876221
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.732022762298584
不好 很不好 售后态度一拖再拖，非常不满意！！！！！,7,1,0.49768394231796265
我想说 确实很快 什么都好 除了这个推脱责任的态度 不就一个赠品吗 要不要都行,4,1,0.9113646149635315
一般般般般般般般般般,1,7,0.38131487369537354
东西都包装的很完好，京东小哥人也特别好，谢谢,3,4,0.8175841569900513
开始洗了，以前买过，这牌子很好的,7,4,0.9052871465682983
收到货了，物流送错地方迟了一天，以后长点心吧,1,7,0.39587321877479553
很好，送快递帅哥很好，看我抱娃，帮我直接拿到四楼，非常感谢帅哥。,3,1,0.39395609498023987
买了之后很快降价，所以差评，换谁心理都不舒服,1,4,0.6497555375099182
宝贝很好很喜欢  卖家有多努力哦~~~ 好,5,7,0.7923766374588013
物流乌龟，速度太慢。,1,7,0.645803689956665
第二次购买，可惜这次里面掺个小家伙。包装还好，没有损坏的。,3,4,0.7538392543792725
地摊货水平的包装，很受打击,7,4,0.9281195402145386
很好很好哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,3,1,0.6704088449478149
第三次购买了，价格好，质量也可以,1,7,0.6104139685630798
说好的赠品 请问我的赠品呢,4,1,0.5741302371025085
京东买的商品价廉物美，物超所值，推荐大家来购买。,7,4,0.7101262211799622
今天早上起床，就收到了快递薛师傅的电话，师傅人非常和蔼，为人不错，认真核对来取快递人的身份信息，非常小心谨慎，刚走出家门口，就看到了那熟悉的银色五菱宏光面包车，车牌号为陕A*****。我从师傅手中接过物品，师傅对我说帮我签字了，并且拿京东的验货仪器给我确认收款信息和金额，一手交钱,4,3,0.3373618423938751
夫学业在勤，故有锥股自厉；志于文也，则有申写郁滞。故宜从容率情，优柔适会。若销铄精胆，蹙迫和气，秉牍以驱龄，洒翰以伐性，岂圣贤之素心，会文之直理哉！    且夫思有利钝，时有通塞，沐则心覆，且或反常；神之方昏，再三愈黩。是以吐纳文艺，务在节宣，清和其心，调畅其气，烦而即舍，勿使壅滞，意得则舒怀以命笔，理伏则投笔以卷怀，逍遥以针劳，谈笑以药倦，常弄闲于才锋，贾馀于文勇，使刃发如新，腠理无滞，虽非胎息之万术，斯亦卫气之一方也。,3,0,0.9813795685768127
质量太差，一次就漏,7,4,0.8558478355407715
超喜欢的！物流也很快！我同事看到我买的，她也要买一套！,4,7,0.41853564977645874
说实话，不一样的卡梅拉我和女儿都不喜欢，后悔了，5555555,0,3,0.6730932593345642
亲宝贝已经收到了?！非常满意！好评?~点赞?,4,7,0.3555487096309662
昨天刚买的*今天就成了*？有这么坑人的吗一天一个价？,3,4,0.8950208425521851
送货及时，比超市便宜很多，方便快捷，还会继续购买,3,4,0.9412634968757629
不怎么样有点后悔买了,7,1,0.6811503767967224
非常不愉快的一次购物经历，京东自己送错货了，对于退换货还拖拖拉拉，一点诚意都没有，枉为大公司了，只想吐槽垃圾。,1,4,0.44746240973472595
快递速度非常给力，推荐大家购买。,3,4,0.32320407032966614
刚到货商家就掉价，不给处理,4,7,0.8751327991485596
质量很好，很快的呀?超喜欢这个速度，在6 18这个日子还能这么快真的太好了！,1,7,0.3580508232116699
能不能连客服一起差评,4,1,0.4074133038520813
还不错，512卡，双电，2700元,2,1,0.9340596199035645
质量一般般 说送赠品也没送 你们千万不要上当,7,1,0.797410249710083
第一次发现京东这么差劲，客户不给力，自营的物流也这么垃圾，京东一点信誉也没有，10.19下单后，显示10.21就能到货，但是实际上是10.23才到货。下单后只能找在线客户，解决不了任何问题，查都不查，直接就告诉你，需要等着，解决不了任何问题那还要什么在线客服啊。,1,4,0.5726630091667175
东西还不错，速度快，下次继续购买,3,4,0.5710431337356567
用后再评价吧，现在还没有用。,1,4,0.8847532868385315
刚买几天就死机好几次，杂牌货就是杂牌货，同胞们千万别买呀,2,1,0.8043680787086487
还行 就是太长,1,7,0.9833705425262451
不是很好，以后不买了。,7,1,0.6260087490081787
一分钱一分货,7,1,0.6587311625480652
收到货了，京东速度快，没的说，产品质量好，快递服务周到，相信京东，,3,4,0.7988313436508179
非常好，一次买了十二个，做为销售队伍的奖品，很是高大上！,1,3,0.5618622899055481
最近受几位老年大学学友的委托，又购买了几本《数码单反摄影轻松入门》和《RAW完全解析》，确实很不错！,0,2,0.9787126779556274
