text,true_label,pred_label,probability
性价比确实还可以。赶超神舟 同样的价格，神舟的配置都比不上这个。 16：9的屏幕看宽屏电影比较爽。,8,1,0.757352888584137
不是很满意，感觉不像正品！！！ 不会是冒牌的吧,4,7,0.5245450139045715
服务太差，没有收到货，系统显示收货，至今未处理,4,1,0.4528125524520874
一直用清扬男款，一直从京东购买，谢谢京东谢谢,4,7,0.6344493627548218
给外公买的～东西不错～～京东还是不错哒～～支持,1,4,0.3870255947113037
阔以阔以！赞一个，要凑够十个字哦,1,3,0.2822447717189789
京东客户端的客服非常差劲,4,1,0.5916818380355835
好好6666666666666666,4,3,0.3412952721118927
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.4694240689277649
投诉华南区配送飞远物流公司的投递员服务态度很差，严重影响了当当的声誉,0,6,0.27900922298431396
用了几天，感觉不错，无线、蓝牙、摄像头等基本功能都有，对于上网本足够用了。在京东买省事，放心些，送来都是未拆封的。,8,1,0.6010856032371521
完美屏啊~还送包~~性价比很高！ 从订单到拿到手不到24小时！ 真是神速了！,8,1,0.8159733414649963
下订单付款了 单没有现货 再次到货时已经降价100元 没有通知我 也没有退款 不知如何解决？,8,1,0.5670895576477051
不太理想，一般般！有点失望！,7,9,0.3239809572696686
用了两月后上来评价，流畅度还行，系统有待提升和更完善人性化点，开机键还是在顶部好些，照相色彩和屏幕色彩偏深暖色，由于平板有些重量其实顶部和底部可以设计更宽一点，总的说来也就值这个价，有待提升空间！,1,8,0.6291714310646057
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,4,0.5982365012168884
很差很差，感觉很山寨，一买完就降价，服了,4,7,0.7208684086799622
大品牌，值得信赖。用了好多年了，非常不错的一款产品。京东自营的，放心，配送还快。会一直支持下去。,4,1,0.6162834763526917
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,4,0.38486993312835693
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.43103837966918945
发货很快的，618之前买的降价了,1,4,0.6991790533065796
客服态度很好，妈妈收的，没有拆开，还不知质量，希望完好,5,7,0.3466493487358093
还行，比较流畅，正在熟悉系统。,1,8,0.4630033075809479
