text,true_label,pred_label,probability
服务太差，没有收到货，系统显示收货，至今未处理,4,1,0.31847572326660156
阔以阔以！赞一个，要凑够十个字哦,1,7,0.5926012396812439
好好6666666666666666,4,1,0.9840769171714783
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.9717573523521423
3G运行流畅,1,2,0.8276804685592651
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,4,0.7227016687393188
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,4,0.36046871542930603
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.9531803727149963
发货很快的，618之前买的降价了,1,4,0.9098630547523499
客服态度很好，妈妈收的，没有拆开，还不知质量，希望完好,5,4,0.5497869253158569
非常不错非常不错非常不错非常的好,7,3,0.5306272506713867
硬件不错，从外观，做工多不错.,2,8,0.8887172341346741
包装，存储，运输等技术都非常棒。,3,4,0.5084633231163025
服务真差！,9,7,0.7932834029197693
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.980061948299408
宝贝不错，客服也很热情，赞一个,7,5,0.9913158416748047
感觉上当了，给母亲买的，回家一看！纯属伪劣产品！不值这个价！,1,4,0.8615943789482117
第二次买了，商品质量还不错，物流也很给力，京东加油↖(^ω^)↗,3,4,0.6298747062683105
非常好，比超市便宜多了。。送货速度很快。,3,4,0.981204092502594
这个差评是给京东快递的,4,1,0.5104342699050903
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.946044921875
等使用评价,1,5,0.8946720361709595
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,7,0.5006408095359802
京东商城值得信赖！有问题管换，痛快！快递小哥服务也好！没话说,1,4,0.4894411861896515
京东垃圾以后不会买京东的东西了。,4,1,0.547802209854126
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.9215847253799438
物流配送超快，其他的一般,4,7,0.35887372493743896
一无商标，二发货慢，三还是假货，差评都没你垃圾,7,4,0.6188861131668091
可以用不到的。紧来？,1,4,0.7520437240600586
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.5990689992904663
东西非常不错，非常不错非常不错非常不错非常不错非常，，,3,1,0.6110296845436096
