text,true_label,pred_label,probability
阔以阔以！赞一个，要凑够十个字哦,1,4,0.3215067982673645
好好6666666666666666,4,1,0.5921951532363892
可以，和想象中的差不多,1,7,0.41998007893562317
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.7105787396430969
谢谢快递哥哥，老人家已经收到放在家里，辛苦你了快递哥!送上五楼!辛苦快递哥!,3,4,0.5025473833084106
一周内第二次购买同款了，谁知这次却遇到了！昨晚下单今天上午就到了，正在感概京东超快，却不想拆封后意外了，白色外盒上面很大一块坑坑洼洼，一个角撞塌陷了，里面装数据线的地方盒子也是坏的！关键是我必须马上装软件，下午就要送给一个重要的领导，来不及换退货了，京东客户谈半天，给出的解决办法基本都是让我自认倒霉！比如，送我价值20的京豆，让我自己去实体店买个包装，试问，20能买到吗？说有专员联系我处理！却一直没消息！京东！京东！我都怀疑你们这货是不是返修的哟！内盒都有坏的啊！京东，太辜负我们的信任了！！！,1,8,0.9247480630874634
不太理想，一般般！有点失望！,7,1,0.2974865138530731
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,4,0.8462983965873718
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.875861644744873
唉唉跟图片不符合 唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉,7,3,0.5760942697525024
发货很快的，618之前买的降价了,1,4,0.7787235379219055
帮帮哒，和想象的一样，点个赞,1,4,0.3373207747936249
非常不错非常不错非常不错非常的好,7,1,0.33409005403518677
没有其他颜色选择。送货的圆通服务真是一般，只送到楼下，以前京东用邮政快递的送到到家门口的。,8,7,0.5861433148384094
硬件不错，从外观，做工多不错.,2,9,0.3795184791088104
包装，存储，运输等技术都非常棒。,3,1,0.5622389912605286
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.9636728167533875
宝贝不错，客服也很热情，赞一个,7,5,0.8309012055397034
非常好，比超市便宜多了。。送货速度很快。,3,4,0.9511958956718445
给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！    给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！,3,4,0.6367075443267822
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.8359335064888
等使用评价,1,5,0.6827899217605591
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,3,0.7101579308509827
京东商城值得信赖！有问题管换，痛快！快递小哥服务也好！没话说,1,4,0.4406683146953583
什么都好，就是有点小。该买十寸的。,1,3,0.5722953081130981
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.8290306329727173
物流配送超快，其他的一般,4,1,0.5106887817382812
一无商标，二发货慢，三还是假货，差评都没你垃圾,7,4,0.9334011673927307
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.9571259617805481
同学买的，看起来很不错！ 性价比还行！ 到现在还没出现质量问题！ 后续在评价！ 买京东自营要的就是送货速度,1,8,0.808856725692749
物流很快，拿到货看了后很满意,7,4,0.32593098282814026
东西非常不错，非常不错非常不错非常不错非常不错非常，，,3,1,0.34653210639953613
废品 劝大家不要买,7,1,0.6103651523590088
不满意，难道一点防护措施都没有吗？难怪上一个回漏。脏兮兮的都是划痕真服了。,4,1,0.9168243408203125
用了一段时间了，感觉很好。这个配置够用了。,1,8,0.5464354157447815
东西都包装的很完好，京东小哥人也特别好，谢谢,3,4,0.7358408570289612
开始洗了，以前买过，这牌子很好的,7,4,0.9701985120773315
收到货了，物流送错地方迟了一天，以后长点心吧,1,4,0.5419131517410278
很好，送快递帅哥很好，看我抱娃，帮我直接拿到四楼，非常感谢帅哥。,3,4,0.6332277059555054
买了之后很快降价，所以差评，换谁心理都不舒服,1,4,0.8020775318145752
宝贝很好很喜欢  卖家有多努力哦~~~ 好,5,7,0.6578289866447449
物流乌龟，速度太慢。,1,7,0.5830376148223877
一如既往信任京东，快递员非常好，和蔼可亲，任劳任怨，很辛苦。在京东购物放心。,3,4,0.5167612433433533
第二次购买，可惜这次里面掺个小家伙。包装还好，没有损坏的。,3,4,0.6856028437614441
地摊货水平的包装，很受打击,7,4,0.6451077461242676
很好很好哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,3,1,0.46828868985176086
第三次购买了，价格好，质量也可以,1,7,0.6303024888038635
京东买的商品价廉物美，物超所值，推荐大家来购买。,7,4,0.4381946921348572
用了一周就坏了 拿去售后维修 说里面有个件进水都生锈了 妈的 我就纳闷了 你说进水了 难道水就让那一个件生锈 其他的没事 就几天时间 绣的有那么快吗 都说网上翻新手机多 唉 现在我信了,1,2,0.5440984964370728
今天早上起床，就收到了快递薛师傅的电话，师傅人非常和蔼，为人不错，认真核对来取快递人的身份信息，非常小心谨慎，刚走出家门口，就看到了那熟悉的银色五菱宏光面包车，车牌号为陕A*****。我从师傅手中接过物品，师傅对我说帮我签字了，并且拿京东的验货仪器给我确认收款信息和金额，一手交钱,4,8,0.468458354473114
垃圾中滴战斗机…,7,9,0.7335385084152222
夫学业在勤，故有锥股自厉；志于文也，则有申写郁滞。故宜从容率情，优柔适会。若销铄精胆，蹙迫和气，秉牍以驱龄，洒翰以伐性，岂圣贤之素心，会文之直理哉！    且夫思有利钝，时有通塞，沐则心覆，且或反常；神之方昏，再三愈黩。是以吐纳文艺，务在节宣，清和其心，调畅其气，烦而即舍，勿使壅滞，意得则舒怀以命笔，理伏则投笔以卷怀，逍遥以针劳，谈笑以药倦，常弄闲于才锋，贾馀于文勇，使刃发如新，腠理无滞，虽非胎息之万术，斯亦卫气之一方也。,3,0,0.9811999201774597
质量太差，一次就漏,7,4,0.8413432836532593
昨天刚买的*今天就成了*？有这么坑人的吗一天一个价？,3,4,0.7169212102890015
送货及时，比超市便宜很多，方便快捷，还会继续购买,3,4,0.9387350678443909
不怎么样有点后悔买了,7,1,0.5139147639274597
非常不愉快的一次购物经历，京东自己送错货了，对于退换货还拖拖拉拉，一点诚意都没有，枉为大公司了，只想吐槽垃圾。,1,4,0.6174859404563904
差差差真卡渣渣品牌以后在也不相信大品牌了坑是了,1,4,0.6486383080482483
服务质量差，,7,9,0.6006903052330017
刚到货商家就掉价，不给处理,4,7,0.7885982990264893
质量很好，很快的呀?超喜欢这个速度，在6 18这个日子还能这么快真的太好了！,1,7,0.8633838295936584
全脱水份处理的吗，一看就放长时间的,3,4,0.5080224275588989
还不错，512卡，双电，2700元,2,1,0.9444908499717712
1：一颗星给了都浪费    2：调换时，明明跟客服说好了要发顺丰到付，自己还写了小纸条，结果说了跟没说一样，垃圾工作态度    3：快递说好的*走陆运，贵点走航空。自己花了票票要求走航空，却走了陆运。大家看运单    4：质量不敢恭维，这个价格真坑，大家看白线条，看线头吧    5：不明白京东是怎么要这样的质量与价格不成正比，差的要死，售后还不认真的商家入住的。    6：不要道歉，没用,7,8,0.4228498637676239
用后再评价吧，现在还没有用。,1,4,0.8085895776748657
还行 就是太长,1,7,0.9330692291259766
一分钱一分货,7,1,0.6597946882247925
收到货了，京东速度快，没的说，产品质量好，快递服务周到，相信京东，,3,4,0.604594886302948
非常好，一次买了十二个，做为销售队伍的奖品，很是高大上！,1,3,0.5784754753112793
给父母买的，挺好的，非常满意！,5,1,0.6736616492271423
物流很快，价格划算，可是刚买又降价了,1,4,0.8390163779258728
差评差，差差，差，一个字还是差,7,1,0.48030513525009155
把GPS卫星定位系统搞入手机。不错。,2,1,0.8889679908752441
壳子有点松，质量差,1,7,0.8088286519050598
"极差，买了3套本来想送人,没有味道。怀疑是假货。搞得现在不敢送人。",4,0,0.9710693955421448
差点儿丢了，物流在三四线城市还是有欠缺，快递小哥人很好，每次提醒检查破损问题,3,4,0.46251538395881653
东西不错，挺满意，对得起这个价格 ，不过，还是建议购买4G，64G的，运行会更好点,1,8,0.6720209121704102
太差了。绝对不是正品。上当了。,7,4,0.5950422286987305
送货速度极慢，必须差评。,1,7,0.5783436298370361
"好用不说话,十个字已输入",1,2,0.7992252707481384
机身稳固，可靠，特别耐磨。一般使用可以,2,1,0.4571094810962677
快递失望，打电话说了着急还拖到下午送！都不想再京东买东西了,1,4,0.5667433738708496
货都没送到 还说已完成···· 我真不好说,7,4,0.4188082218170166
"东西不好都不要买,不要买",3,1,0.4256831705570221
方便又划算，都不用逛超市了。现在什么东西都上京东买，都习惯了。,3,4,0.6447742581367493
快递小哥差评差评差评差评差评！在京东买了这么多年的东西，第一次遇到快递员连小区门都不进的,1,4,0.6557949185371399
刚买一天就降价，京东越来越不可信了，而且售后一点都不好,4,1,0.6481167078018188
刚买的，还没用过，想说配送员辛苦了！都快夜里十点了，还在送货！,1,4,0.932089626789093
